model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M3_parsim_interact,log_HCI,0.7667383141130504,0.4639028882920976,1.652799181604301,0.09837174075462851,7702574308.400372,2.2788306251291226e-05,5,2430,96,0.10096033322395052
M3_parsim_interact,log_HCI_x_wide_share,-0.26502943117787947,0.2910966005512685,-0.9104518248443164,0.36258427753025746,582996701.070538,8.283177101008011e-05,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_base_metals_share,-0.194608407776925,0.17516597425005645,-1.1109943504159872,0.2665707824449446,199710820.83976617,0.00014152370751524456,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_coal_share,-0.6052650469332665,0.2067468649579833,-2.9275657798064953,0.0034162694828649975,47610686.399318986,0.00028985298304796167,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_crude_oil_share,0.0806032409611021,0.1074512224243918,0.7501379616022393,0.45317162110510756,61756268.96675818,0.00025450098682808453,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_gas_share,0.15932355919027158,0.2958563006574591,0.5385167016427194,0.5902204199083143,2846061.829258957,0.0011855171209211295,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_ores_share,-0.36073247238108896,0.23740115575431509,-1.5195059654823613,0.12863519089568842,95952678.32244179,0.00020417447371928553,5,2430,96,0.10096033322395052
M3_parsim_interact,post2019_x_refined_oil_share,0.1176414810487842,0.1010032567949364,1.1647295818156425,0.24412855847026305,3169188.3610450234,0.0011234557452250436,5,2430,96,0.10096033322395052
M3_parsim_interact,wide_resource_share_net,-0.13707901323702065,0.06855788844984606,-1.9994637573661802,0.04555820730001359,34497471.97201705,0.0003405150883533859,5,2430,96,0.10096033322395052
M4_pooled_OLS,Agriculture,0.022470132601208347,0.008900968513281073,2.524459284142037,0.011598202200173047,14529.964818870381,0.016591960849759526,5,1839,73,0.7672707468699806
M4_pooled_OLS,Domestic credit to private sector (% of GDP),0.0003090146755039872,0.0013188298549367098,0.23430973627664556,0.8147460109047058,32344.283134708854,0.01112067709684859,5,1839,73,0.7672707468699806
M4_pooled_OLS,Government revenue,0.015743995234110082,0.003944166639353841,3.9917165459036905,6.56017889701932e-05,928078.1435315002,0.0020760495898610276,5,1839,73,0.7672707468699806
M4_pooled_OLS,Industry,-0.01104941587847661,0.005527206453045055,-1.9990959216638728,0.04565027391072096,5165.635401585761,0.027827111025613055,5,1839,73,0.7672707468699806
M4_pooled_OLS,"Inflation, consumer prices (annual %)",0.00029127952323762106,0.0009226923026269868,0.3156843537204358,0.752244287884444,30163.094600906785,0.011515745214745701,5,1839,73,0.7672707468699806
M4_pooled_OLS,Manufacturing,0.04894127103200148,0.007360549200699447,6.64913306025463,2.948330468655058e-11,18972712.049262606,0.0004591613117742053,5,1839,73,0.7672707468699806
M4_pooled_OLS,Political corruption index,-0.252630145821146,0.30806799647590577,-0.8200467062825996,0.4121895027303726,9295861.605960894,0.0006559718020130803,5,1839,73,0.7672707468699806
M4_pooled_OLS,Political stability — estimate,0.01634997919168197,0.04651117608362076,0.35152796743490067,0.7251923830617537,837273.7184455094,0.0021857287564524116,5,1839,73,0.7672707468699806
M4_pooled_OLS,"Primary net lending, General government, Percent of GDP",0.0024520308014334647,0.005385052919232362,0.45534014952317337,0.648880872074526,6055.176791352497,0.025701980031769142,5,1839,73,0.7672707468699806
M4_pooled_OLS,Real interest rate (%),-0.0013925445942863436,0.0022949233100667704,-0.6067935203664072,0.5439886314026179,201817.16974220632,0.004451956784670054,5,1839,73,0.7672707468699806
M4_pooled_OLS,Rule of law index,0.18594241114022497,0.31122243425054313,0.5974582506816842,0.5502014957029937,5912416.935681433,0.000822521898950636,5,1839,73,0.7672707468699806
M4_pooled_OLS,Services,0.015838741736575002,0.0065277703810714596,2.4263631855836283,0.015321558249940193,2490.505077775508,0.04007617643339554,5,1839,73,0.7672707468699806
M4_pooled_OLS,Trade (% of GDP),0.0015133631901439594,0.0011788712679001168,1.2837391421369202,0.19923333816936561,3152859.4320205585,0.0011263612249126117,5,1839,73,0.7672707468699806
M4_pooled_OLS,Urban population (% of total population),-0.08998151208240307,0.010257905147185971,-8.771918904620355,0.0,14903.033765992423,0.016382970639592324,5,1839,73,0.7672707468699806
M4_pooled_OLS,log_GDPpc,0.43366082671274553,0.07923567299546719,5.473050336021679,4.423809474296547e-08,3983569.3014160576,0.0010020601864317393,5,1839,73,0.7672707468699806
M4_pooled_OLS,log_GFCF,0.0011053583215143894,0.05616073188551743,0.01968204979535596,0.98429701255467,1664336.1222554876,0.0015502776149080807,5,1839,73,0.7672707468699806
M4_pooled_OLS,log_HCI,0.6315775891782524,0.3536607286419248,1.7858290107684345,0.0741269518238108,77815547.12346813,0.0002267236413210587,5,1839,73,0.7672707468699806
M4_pooled_OLS,log_Pop,0.1347142777826516,0.03890609442849243,3.462549499288604,0.0005350889528410452,4085844.8246041057,0.000989439083634645,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_base_metals_share,-0.05712732720928486,0.35493617963797175,-0.16095098354739057,0.8721320114965052,6717096.868033159,0.0007716834567244272,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_coal_share,-0.9273630078335803,0.43549038310380667,-2.1294683965788685,0.033215565556794724,6300125.408877561,0.0007968111421996209,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_crude_oil_share,-0.0363436083779755,0.19253472449277445,-0.18876391504816276,0.8502779439990191,430239.0348338928,0.003049124028055425,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_gas_share,-1.2054293600831132,0.8795013586188235,-1.3705827151604744,0.17050507446305985,1333738453.8209934,5.476393663512096e-05,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_ores_share,-0.4227185863603301,0.3861070977153313,-1.0948221072900133,0.27359459038989087,23561998.666673027,0.00041202534540230366,5,1839,73,0.7672707468699806
M4_pooled_OLS,post2019_x_refined_oil_share,0.5773559368283279,0.20402311888372332,2.829855459455916,0.004656905119932997,67533964.56097896,0.00024337102592455857,5,1839,73,0.7672707468699806
M4_pooled_OLS,wide_resource_share_net,-0.03413800946018798,0.07946007395004998,-0.4296246877601416,0.6674686761424087,155645339.7925879,0.00016031048746656263,5,1839,73,0.7672707468699806
M5_observed_only,log_GDPpc,0.5223630685768316,0.15460704638946451,3.3786498143232575,0.0007510636468262,,,1,1365,73,0.20436936692262153
M5_observed_only,log_Pop,0.21592563767833467,0.23458575106895665,0.9204550433877937,0.3575141903208845,,,1,1365,73,0.20436936692262153
M5_observed_only,Trade (% of GDP),0.0004888383131406566,0.0008882533524561923,0.5503365810992148,0.5821877386352674,,,1,1365,73,0.20436936692262153
