Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
MUS,Mauritius,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MNG,Mongolia,Diverse Resource Exporters,,,Oil Exporters,1.0,,,1.0,True,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,2.0,1.0
MNE,Montenegro,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,Mining Specialists,Unlabeled_0,Mining Specialists,Oil Exporters,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,Mining Specialists,,Unlabeled_3,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,Diverse Resource Exporters,,Unlabeled_0,Unlabeled_0,1.0,,1.0,1.0,True,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,2.0,1.0,0.0,1.0,,,0.0,1.0,2.0,1.0
NPL,Nepal,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,Mining Specialists,Unlabeled_0,Unlabeled_0,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
NER,Niger,Diverse Resource Exporters,Mining Specialists,Unlabeled_0,Unlabeled_0,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,Petrostates,,Petrostates,Oil Exporters,1.0,,1.0,1.0,True,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,4.0,1.0
MKD,North Macedonia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,Unlabeled_4,Petrostates,Petrostates,Oil Exporters,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
PAK,Pakistan,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,Mining Specialists,,,,1.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,Diverse Resource Exporters,,,Oil Exporters,1.0,,,1.0,True,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,2.0,1.0
PRY,Paraguay,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,Diverse Resource Exporters,Mining Specialists,Unlabeled_0,Unlabeled_0,1.0,1.0,1.0,1.0,True,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0
PHL,Philippines,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
