iter,feature,short,coef
20,HCI_x_ProductionValue,HC × Production,0.0
20,GFCF_x_ProductionValue,GFCF × Production,-0.0
21,Total_Production_Value_Per_Capita,Production Value,-0.0
21,Human capital index,Human Capital,0.0293471069382487
21,Rule of law index,Rule of Law,0.0
21,Political stability — estimate,Political Stability,0.024263158190661355
21,Trade (% of GDP),Trade,-0.0
21,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
21,Share of investment in GDP,Investment Share,-0.0
21,Domestic credit to private sector (% of GDP),Domestic Credit,0.09131604540826602
21,Landlocked,Landlocked,-0.0
21,Urban population (% of total population),Urban Population,0.0
21,Government revenue,Gov Revenue,-0.022619731827535045
21,Capital depreciation rate,Depreciation,-0.012406702865887152
21,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
21,Real interest rate (%),Real Rate,-0.0
21,"Inflation, consumer prices (annual %)",Inflation,-0.0
21,Access to electricity (% of population),Electricity,0.06919753769638887
21,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.013042868457333625
21,L1_ECI,Lagged ECI,0.5181213751723697
21,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
21,HCI_x_ProductionValue,HC × Production,0.0
21,GFCF_x_ProductionValue,GFCF × Production,0.0
22,Total_Production_Value_Per_Capita,Production Value,-0.0
22,Human capital index,Human Capital,0.0
22,Rule of law index,Rule of Law,0.009262996456506103
22,Political stability — estimate,Political Stability,0.0
22,Trade (% of GDP),Trade,-0.0
22,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
22,Share of investment in GDP,Investment Share,-0.0
22,Domestic credit to private sector (% of GDP),Domestic Credit,0.0761758454060378
22,Landlocked,Landlocked,-0.0
22,Urban population (% of total population),Urban Population,0.015146924972880886
22,Government revenue,Gov Revenue,-0.0
22,Capital depreciation rate,Depreciation,-0.0
22,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
22,Real interest rate (%),Real Rate,0.0
22,"Inflation, consumer prices (annual %)",Inflation,-0.0
22,Access to electricity (% of population),Electricity,0.03976565391030945
22,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.012358967636726958
22,L1_ECI,Lagged ECI,0.5479288671044872
22,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
22,HCI_x_ProductionValue,HC × Production,0.0
22,GFCF_x_ProductionValue,GFCF × Production,-0.0
23,Total_Production_Value_Per_Capita,Production Value,-0.0
23,Human capital index,Human Capital,0.0010079279173466648
23,Rule of law index,Rule of Law,0.007384296509509681
23,Political stability — estimate,Political Stability,0.0
23,Trade (% of GDP),Trade,-0.0
23,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
23,Share of investment in GDP,Investment Share,0.0
23,Domestic credit to private sector (% of GDP),Domestic Credit,0.08398289403391354
23,Landlocked,Landlocked,0.0
23,Urban population (% of total population),Urban Population,0.0
23,Government revenue,Gov Revenue,-0.0
23,Capital depreciation rate,Depreciation,-0.0
23,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
23,Real interest rate (%),Real Rate,0.0
23,"Inflation, consumer prices (annual %)",Inflation,-0.0
23,Access to electricity (% of population),Electricity,0.04738892940679006
23,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0073763598130253795
23,L1_ECI,Lagged ECI,0.5844116281785451
23,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
23,HCI_x_ProductionValue,HC × Production,0.0
23,GFCF_x_ProductionValue,GFCF × Production,-0.0
24,Total_Production_Value_Per_Capita,Production Value,-0.0
24,Human capital index,Human Capital,0.008800234093019159
24,Rule of law index,Rule of Law,0.013194493708369752
24,Political stability — estimate,Political Stability,0.0
24,Trade (% of GDP),Trade,-0.0
24,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
24,Share of investment in GDP,Investment Share,0.0
24,Domestic credit to private sector (% of GDP),Domestic Credit,0.07340627055645353
24,Landlocked,Landlocked,-0.0
24,Urban population (% of total population),Urban Population,0.0
24,Government revenue,Gov Revenue,-0.0
24,Capital depreciation rate,Depreciation,-0.010875944617245838
24,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
