Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
ISR,2012,Natural Gas,786440507.9642009,Israel,7910500.0,53741.56453675222,99.41729447749205,0.18499144067438453
ITA,2012,Natural Gas,2724269934.363297,Italy,60191247.0,51646.62612868655,45.26023417264136,0.08763444500685799
KAZ,2012,Natural Gas,9646002408.502108,Kazakhstan,17306106.0,14588.693909910748,557.3756689403212,3.8206002016511653
KWT,2012,Natural Gas,4899299099.250325,Kuwait,3337109.0,47432.38376775384,1468.1267825684822,3.095199241423251
LBY,2012,Natural Gas,3852494296.542312,Libya,6179328.0,24691.01514183978,623.4487466181293,2.525002487895582
MEX,2012,Natural Gas,16902506936.635893,Mexico,116818208.0,21831.14240156719,144.69068842963156,0.6627719510420338
MMR,2012,Natural Gas,4158666813.32918,Myanmar,49837446.0,3145.6050384680093,83.44462140634533,2.6527367672002784
MYS,2012,Natural Gas,23018809944.79452,Malaysia,29662831.0,48047.87754370255,776.0152746308847,1.6150875216601408
NGA,2012,Natural Gas,13016811232.633429,Nigeria,176200625.0,2312.736908159095,73.8749435913376,3.194264913173413
NLD,2012,Natural Gas,22736955242.89052,Netherlands,16754962.0,53326.668656436,1357.028159353063,2.5447457970718057
NOR,2012,Natural Gas,37723408525.07707,Norway,5018573.0,47280.40955579095,7516.759948510677,15.89825472988107
OMN,2012,Natural Gas,9414177440.702003,Oman,3547106.0,33543.31010145559,2654.0445762551226,7.912291804916273
PAK,2012,Natural Gas,12164850909.419235,Pakistan,207667125.0,5164.382951907495,58.57860703478818,1.134280853691375
PER,2012,Natural Gas,3974841654.184783,Peru,29550366.0,15914.353581270912,134.51074190366316,0.8452164972755444
POL,2012,Natural Gas,1510278591.5657642,Poland,38063164.0,49614.057123111925,39.6782199074613,0.07997374576524569
QAT,2012,Natural Gas,54030095640.930595,Qatar,1722438.0,69756.21063592394,31368.383443079285,44.96858868495473
ROU,2012,Natural Gas,3356547980.511376,Romania,20058035.0,16941.60892174876,167.34181491414168,0.9877563322767823
RUS,2012,Natural Gas,200055470311.52313,Russian Federation,143378447.0,23692.963194907585,1395.2966746216964,5.889076276122323
SAU,2012,Natural Gas,31366250694.717037,Saudi Arabia,26168861.0,12305.790936453312,1198.6097023755462,9.740208561685519
SYR,2012,Natural Gas,2020689766.2181003,,,,,
THA,2012,Natural Gas,12780660674.930014,Thailand,69436098.0,19043.983728056923,184.0636361065395,0.9665185537591283
TKM,2012,Natural Gas,19598660976.390427,,,,,
TTO,2012,Natural Gas,12808100000.739506,Trinidad and Tobago,1335194.0,62652.00331391864,9592.688403887005,15.311064126429798
UKR,2012,Natural Gas,6446166323.944731,Ukraine,46210056.0,17573.604744817065,139.49704635598647,0.7937873212786803
USA,2012,Natural Gas,215767877208.2408,United States,314339099.0,45754.559027558,686.4175595548195,1.5002167524800967
UZB,2012,Natural Gas,18789676696.25389,Uzbekistan,29261903.0,7862.237438792114,642.1208045236802,8.16715101168873
VEN,2012,Natural Gas,10605072507.137394,"Venezuela, RB",29553826.0,8454.614901545561,358.83924156342374,4.244300251899415
VNM,2012,Natural Gas,3000749024.9446044,Viet Nam,89510356.0,17039.24317889161,33.52404301625841,0.19674608000071472
ARE,2013,Natural Gas,20013501502.756596,United Arab Emirates,7693031.0,47633.06280127763,2601.51057531896,5.461564766834984
ARG,2013,Natural Gas,12991145437.254282,Argentina,42582455.0,24424.139,305.082115093042,1.2491007977519373
AUS,2013,Natural Gas,22773542442.008724,Australia,23128129.0,47800.108,984.6686016844997,2.0599714998227614
AZE,2013,Natural Gas,6569498185.207908,Azerbaijan,9416801.0,14747.223,697.6358728625472,4.730625371722848
BGD,2013,Natural Gas,8253068999.891046,Bangladesh,156532141.0,4208.23,52.724436956950875,1.252888671887014
BHR,2013,Natural Gas,5247394546.411118,Bahrain,1253191.0,49245.997,4187.226485357074,8.502673801805809
BOL,2013,Natural Gas,7359210536.862904,Bolivia,10682608.0,7467.422999999999,688.8964321131042,9.22535702226999
BRA,2013,Natural Gas,8251868904.09886,Brazil,198478299.0,16393.15,41.57567323820555,0.2536161338010422
BRN,2013,Natural Gas,4474254904.101863,Brunei Darussalam,411202.0,66899.487,10880.91717477508,16.264574905895888
CAN,2013,Natural Gas,57113894111.47381,Canada,35080992.0,41968.94573619937,1628.0581265054823,3.8791971014445505
CHN,2013,Natural Gas,45794289165.81496,China,1363240000.0,15966.912678088684,33.5922428668576,0.21038658846651098
COL,2013,Natural Gas,4971316900.471225,Colombia,46151584.0,22411.58960154025,107.71714575324705,0.48063143966300426
DEU,2013,Natural Gas,3234689072.606629,Germany,80645605.0,49843.55556260325,40.10992381552136,0.08047163442251529
DNK,2013,Natural Gas,1869801051.8844607,Denmark,5614932.0,51413.5909462812,333.0051106379313,0.6476986036355002
DZA,2013,Natural Gas,29827156833.653004,Algeria,38414171.0,12504.092,776.4623329669929,6.209665867517553
EGY,2013,Natural Gas,20287880984.20268,"Egypt, Arab Rep.",95333553.0,6751.439074880384,212.80945003909252,3.15206058558505
GBR,2013,Natural Gas,13902637150.392784,United Kingdom,64139000.0,50087.09183442361,216.7579343362507,0.432762067825384
IDN,2013,Natural Gas,31101432053.548363,Indonesia,255852467.0,5180.7875738026105,121.5600240960286,2.3463618680432714
IND,2013,Natural Gas,11678068209.069328,India,1295829511.0,13893.525048293965,9.012040634926803,0.06486504039544251
IRN,2013,Natural Gas,59222089968.343636,"Iran, Islamic Rep.",80414686.0,12346.29708813998,736.458636030036,5.96501631843517
IRQ,2013,Natural Gas,2658938507.9548974,Iraq,35281989.0,12906.095669537488,75.36248900125493,0.5839294154554774
ISR,2013,Natural Gas,2279505969.1133547,Israel,8059500.0,52404.72578772293,282.83466333064763,0.5397121329788706
ITA,2013,Natural Gas,2769782526.804353,Italy,60311613.0,51644.91838266696,45.92453076664279,0.08892361960253567
KAZ,2013,Natural Gas,11445897628.991611,Kazakhstan,17556502.0,12953.771474387937,651.9463631759681,5.032869110474812
KWT,2013,Natural Gas,5825528062.501608,Kuwait,3507844.0,47408.0657369305,1660.7146904199867,3.5030214049131803
LBY,2013,Natural Gas,4571507058.768107,Libya,6304628.0,10463.017794426058,725.1033778310326,6.930155258049121
MEX,2013,Natural Gas,19732684346.873524,Mexico,118343573.0,20719.050806179577,166.7406505199359,0.8047697362188259
MMR,2013,Natural Gas,4835023583.033442,Myanmar,50262658.0,5142.25029272515,96.19514318230925,1.870681855342564
MYS,2013,Natural Gas,27289416117.046364,Malaysia,30174265.0,48046.899299592726,904.3937314478535,1.8823144565658154
NGA,2013,Natural Gas,12443661327.07689,Nigeria,181049443.0,2277.685779364121,68.73073521180008,3.017568789975418
NLD,2013,Natural Gas,27220601014.520256,Netherlands,16804432.0,53903.039853315146,1619.8465389678304,3.0051116660134083
NOR,2013,Natural Gas,40435514455.259186,Norway,5079623.0,44651.14970537047,7960.337697356514,17.827844859275984
OMN,2013,Natural Gas,11573846122.70757,Oman,3833913.0,40609.42174346335,3018.8077096970037,7.433761871240934
PAK,2013,Natural Gas,13378323167.342224,Pakistan,211073978.0,6187.692626240929,63.38215299728811,1.024326139415772
PER,2013,Natural Gas,4661405421.76496,Peru,29817919.0,17050.62440223488,156.32899873948145,0.9168520463038933
POL,2013,Natural Gas,1671572141.011008,Poland,38040196.0,49642.18709972889,43.94225889401327,0.0885179752570838
QAT,2013,Natural Gas,63117329363.76862,Qatar,1916426.0,69272.96503868297,32934.916017507916,47.54367883505002
ROU,2013,Natural Gas,3760177339.72802,Romania,19983693.0,16964.628730658435,188.16228510556184,1.109144727497133
RUS,2013,Natural Gas,231017582312.18832,Russian Federation,143805638.0,23695.316112900444,1606.4570591605618,6.779639703924263
SAU,2013,Natural Gas,35725613366.29482,Saudi Arabia,27624004.0,12251.75461177803,1293.2815013455263,10.555888052983454
SYR,2013,Natural Gas,1877945775.930213,,,,,
THA,2013,Natural Gas,14637374655.939411,Thailand,69845114.0,19043.140550566208,209.5690566979304,1.1004962975589616
TKM,2013,Natural Gas,22166322712.25682,,,,,
TTO,2013,Natural Gas,14566889103.681038,Trinidad and Tobago,1340557.0,54575.61566385477,10866.29595286216,19.910532974635533
