month,operator,cbd_share_of_city,buffer_share_of_manhattan,airport_share_of_city,outer_borough_share
2021-02-01,lyft,0.19027933962895038,0.08690934128987836,0.015661176928863513,0.6486585269266909
2021-03-01,lyft,0.19734686778930255,0.08079867828097118,0.018332234560386337,0.6378680299540336
2021-04-01,lyft,0.20903391875529756,0.08237136229360735,0.02356423555870623,0.6200574745200353
2021-05-01,lyft,0.22500704240640268,0.08192339795960303,0.028298311365646187,0.6025686932144682
2021-06-01,lyft,0.23482848074665585,0.07996304932294801,0.027200088887600664,0.5991514615730207
2021-07-01,lyft,0.24102458871395718,0.07943061034751363,0.029446783418833656,0.595087682056725
2021-08-01,lyft,0.23475377587116117,0.08087189906949047,0.0314164331127162,0.5956622365481813
2021-09-01,lyft,0.24622053307440875,0.08440054466887383,0.031641014577212835,0.5818465128349066
2021-10-01,lyft,0.2620989120833035,0.08527650498765343,0.030230444099388673,0.5655155498076292
2021-11-01,lyft,0.24530871449019026,0.0872249567801238,0.033550293425372045,0.5800886584560803
2021-12-01,lyft,0.2279414092629911,0.08728275770433201,0.03199676742055216,0.6008864265668126
2022-01-01,lyft,0.21986372886006295,0.08720133535591634,0.02771329202519136,0.6118825690310878
2022-02-01,lyft,0.24013764915804817,0.08270910914801616,0.025957694343922456,0.5928807193138022
2022-03-01,lyft,0.24247508486090466,0.08322796413920054,0.031193241970787926,0.5876301289653114
2022-04-01,lyft,0.23677567025032595,0.08399600940384878,0.03544841396829725,0.5883222739162918
2022-05-01,lyft,0.23151260408794508,0.08521955450810953,0.04024303821716927,0.5939839908049412
2022-06-01,lyft,0.23303249915907728,0.08446409020891804,0.0403088268943432,0.594284888803127
2022-07-01,lyft,0.2324129233502676,0.08121867523458372,0.03549295843617562,0.600440552992759
2022-08-01,lyft,0.22495816934004725,0.0828014426041322,0.036201586638368755,0.6092730075015288
2022-09-01,lyft,0.2356504985014374,0.08254750446123772,0.03795889656859747,0.5956278671478378
2022-10-01,lyft,0.23820547098480602,0.08688326389798008,0.03615775679081557,0.5905129347727132
2022-11-01,lyft,0.2289715547020165,0.08823950898259529,0.034649195962039685,0.5982321842771452
2022-12-01,lyft,0.21861625600964185,0.08781489594742607,0.030776590655397864,0.6153009864754976
2023-01-01,lyft,0.21723963826972337,0.08475191050897268,0.02997480375275727,0.6188022085433614
2023-02-01,lyft,0.2302634915561238,0.08298048266601123,0.030119439561024985,0.6031482606147781
2023-03-01,lyft,0.22168620238302097,0.08495747423108954,0.034109117384316975,0.6076499293119819
2023-04-01,lyft,0.2287306806856668,0.08478245632341463,0.0379166558451501,0.594308063186286
2023-05-01,lyft,0.22574713656293008,0.08665125266563754,0.039427029671306825,0.5956534631446292
2023-06-01,lyft,0.22904000438079525,0.08682335734281131,0.03741719803259204,0.5972618234342023
2023-07-01,lyft,0.236962684730042,0.083966854849238,0.03763420704612731,0.5903279881053272
2023-08-01,lyft,0.23097573829811283,0.08576647323493546,0.043271281291826495,0.5903972192017876
2023-09-01,lyft,0.24868014956834442,0.08509568726566918,0.03857775031334125,0.5745905227167681
2023-10-01,lyft,0.24647283260153047,0.08799422947934005,0.03682062192401186,0.5762271723936915
2023-11-01,lyft,0.23828142771301175,0.09016178880041271,0.03857335701960596,0.5804608996343331
2023-12-01,lyft,0.23268761957674486,0.08947312087704744,0.03244260755537331,0.5899677976441594
2024-01-01,lyft,0.234285999733455,0.09137973844973818,0.035359920593232314,0.5853145145191713
2024-02-01,lyft,0.24676023719904253,0.08858927036196183,0.03202199165458544,0.5765282495063727
2024-03-01,lyft,0.24633212869105334,0.08668079844550433,0.035168267959453506,0.5756223887174967
2024-04-01,lyft,0.24669523650257758,0.08742630631357577,0.036567683948818694,0.5700822915222256
2024-05-01,lyft,0.23934613177461747,0.08873035816137517,0.039071327779069326,0.5753401645580081
2024-06-01,lyft,0.2428105177158462,0.08682740578377997,0.039348123875427105,0.5771033392721295
2024-07-01,lyft,0.2416878431656193,0.08765794059146863,0.03968962550525137,0.5802394959804892
2024-08-01,lyft,0.2373715483013348,0.08716201245856377,0.043726614897973616,0.5833067815504706
2024-09-01,lyft,0.2474655322605085,0.08676481158691082,0.04138172270108727,0.571484784062892
2024-10-01,lyft,0.25980737723844166,0.08944051466399117,0.03981452079908163,0.5549007972753119
2024-11-01,lyft,0.25758087657252876,0.0892268793016382,0.03446211255087819,0.5586685358779785
2024-12-01,lyft,0.2501122229859081,0.09076303963477575,0.03804320390800045,0.5650769057521076
2025-01-01,lyft,0.2601492790326143,0.09141070797795005,0.03204670491963281,0.5579660465081359
2025-02-01,lyft,0.2503246219267384,0.08881456839999857,0.030973484528163068,0.5707667688543843
2025-03-01,lyft,0.23668654132903727,0.088042277857916,0.040251521414399034,0.5804250899123596
2025-04-01,lyft,0.2493237625993267,0.09079810304727715,0.03841132031213291,0.5642901884437124
2025-05-01,lyft,0.241374660806824,0.08965173754689597,0.04237396816207821,0.5723876397363796
2025-06-01,lyft,0.22831718800414055,0.0874637292419203,0.03765923405279841,0.5954095519784881
2025-07-01,lyft,0.23297419226743565,0.08517118401932412,0.03656350342716104,0.594637553127738
2025-08-01,lyft,0.21437918696053568,0.08388777247757485,0.035522932922926326,0.6207652121759898
2025-09-01,lyft,0.22891421497974276,0.08686976839648919,0.04089585415015438,0.5928721353323406
2025-10-01,lyft,0.23908846427301508,0.08912547903896034,0.0397843434197592,0.5794488225706383
2025-11-01,lyft,0.2337197980867395,0.08817563794488617,0.032264326496659085,0.5929010986933435
2025-12-01,lyft,0.21884918531889838,0.08852331785360741,0.030798209957986555,0.6118592559308798
2026-01-01,lyft,0.22129990816755296,0.08840072086026048,0.030665521636498695,0.6110891489358348
2026-02-01,lyft,0.20882278786006586,0.08679107736428704,0.02857515769330698,0.6301232524702125
2026-03-01,lyft,0.21214501836513516,0.08596180188753166,0.03371730932380013,0.6199795016648767
2026-04-01,lyft,0.2102737764263654,0.08540914585258051,0.029580731293323313,0.6213812710651375
