iter,feature,short,coef
19,HCI_x_ProductionValue,HC × Production,0.0
19,GFCF_x_ProductionValue,GFCF × Production,-0.0
20,Total_Production_Value_Per_Capita,Production Value,-0.0
20,Human capital index,Human Capital,0.014140502003618521
20,Rule of law index,Rule of Law,0.0
20,Political stability — estimate,Political Stability,0.0
20,Trade (% of GDP),Trade,-0.0
20,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
20,Share of investment in GDP,Investment Share,-0.0
20,Domestic credit to private sector (% of GDP),Domestic Credit,0.04912315767343544
20,Landlocked,Landlocked,-0.0
20,Urban population (% of total population),Urban Population,0.012714110395166355
20,Government revenue,Gov Revenue,-0.0
20,Capital depreciation rate,Depreciation,-0.0
20,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
20,Real interest rate (%),Real Rate,0.0
20,"Inflation, consumer prices (annual %)",Inflation,-0.0
20,Access to electricity (% of population),Electricity,0.023947704593188155
20,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
20,L1_ECI,Lagged ECI,0.6589000307764592
20,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
20,HCI_x_ProductionValue,HC × Production,0.0
20,GFCF_x_ProductionValue,GFCF × Production,0.0
21,Total_Production_Value_Per_Capita,Production Value,-0.0
21,Human capital index,Human Capital,0.01474062195459492
21,Rule of law index,Rule of Law,0.0
21,Political stability — estimate,Political Stability,0.026421830527910313
21,Trade (% of GDP),Trade,-0.0
21,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
21,Share of investment in GDP,Investment Share,-0.0
21,Domestic credit to private sector (% of GDP),Domestic Credit,0.058937954954737096
21,Landlocked,Landlocked,-0.0
21,Urban population (% of total population),Urban Population,0.04224599143918631
21,Government revenue,Gov Revenue,-0.054248991412241175
21,Capital depreciation rate,Depreciation,-0.0024018175164406174
21,"Use of IMF credit (DOD, current US$)",IMF Credit,0.0
21,Real interest rate (%),Real Rate,0.0
21,"Inflation, consumer prices (annual %)",Inflation,-0.0
21,Access to electricity (% of population),Electricity,0.03747748259488261
21,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
21,L1_ECI,Lagged ECI,0.4751573225597441
21,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
21,HCI_x_ProductionValue,HC × Production,0.0034906803577799783
21,GFCF_x_ProductionValue,GFCF × Production,0.0
22,Total_Production_Value_Per_Capita,Production Value,0.0
22,Human capital index,Human Capital,0.046740438431727906
22,Rule of law index,Rule of Law,-0.0
22,Political stability — estimate,Political Stability,0.0
22,Trade (% of GDP),Trade,0.0
22,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,-0.0
22,Share of investment in GDP,Investment Share,-0.0
22,Domestic credit to private sector (% of GDP),Domestic Credit,0.03514147507578326
22,Landlocked,Landlocked,-0.0
22,Urban population (% of total population),Urban Population,0.0
22,Government revenue,Gov Revenue,-0.0
22,Capital depreciation rate,Depreciation,-0.0
22,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
22,Real interest rate (%),Real Rate,0.0031486103078312605
22,"Inflation, consumer prices (annual %)",Inflation,-0.0051436975114158845
22,Access to electricity (% of population),Electricity,0.026513975331042824
22,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
22,L1_ECI,Lagged ECI,0.633806680875135
22,Forestry rents (% of GDP),Forestry rents (% GDP),-0.0
22,HCI_x_ProductionValue,HC × Production,0.0
22,GFCF_x_ProductionValue,GFCF × Production,0.0
23,Total_Production_Value_Per_Capita,Production Value,0.0
23,Human capital index,Human Capital,0.0
23,Rule of law index,Rule of Law,0.0
23,Political stability — estimate,Political Stability,0.021623568159417402
23,Trade (% of GDP),Trade,-0.0
23,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
23,Share of investment in GDP,Investment Share,0.0
23,Domestic credit to private sector (% of GDP),Domestic Credit,0.08248424910725775
23,Landlocked,Landlocked,-0.0
23,Urban population (% of total population),Urban Population,0.0
23,Government revenue,Gov Revenue,-0.0
23,Capital depreciation rate,Depreciation,-0.0
23,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
23,Real interest rate (%),Real Rate,-0.0
23,"Inflation, consumer prices (annual %)",Inflation,0.0
23,Access to electricity (% of population),Electricity,0.028830515608561324
23,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
23,L1_ECI,Lagged ECI,0.49934765133109493
23,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
23,HCI_x_ProductionValue,HC × Production,0.0
23,GFCF_x_ProductionValue,GFCF × Production,0.0
24,Total_Production_Value_Per_Capita,Production Value,-0.0
24,Human capital index,Human Capital,0.0
24,Rule of law index,Rule of Law,0.0
24,Political stability — estimate,Political Stability,0.010601821832770822
24,Trade (% of GDP),Trade,-0.0
24,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0
24,Share of investment in GDP,Investment Share,-0.0
24,Domestic credit to private sector (% of GDP),Domestic Credit,0.06736285849833318
24,Landlocked,Landlocked,-0.0
24,Urban population (% of total population),Urban Population,0.06877336103992909
24,Government revenue,Gov Revenue,-0.015610297885010662
24,Capital depreciation rate,Depreciation,-0.0
24,"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0
24,Real interest rate (%),Real Rate,0.0
24,"Inflation, consumer prices (annual %)",Inflation,-0.0
24,Access to electricity (% of population),Electricity,0.027817990772755038
24,Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0
24,L1_ECI,Lagged ECI,0.6079849174940353
24,Forestry rents (% of GDP),Forestry rents (% GDP),0.0
