period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
1997,GHA,Ghana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3937008.0
1998,GHA,Ghana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",6296040.0
1999,GHA,Ghana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3482155.0
2000,GHA,Ghana,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4501157.0
1995,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7031.0
1996,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",18215.0
1997,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",192.0
1998,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",830.0
1999,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",185.0
2000,GIN,Guinea,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1283.0
1995,GLP,Guadeloupe (Overseas France),25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",126619.0
1997,GMB,Gambia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",18054.0
1998,GMB,Gambia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",311213.0
1999,GMB,Gambia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",68283.0
1995,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",361200096.0
1996,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",393787072.0
1997,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",365817056.0
1998,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",312193376.0
1999,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",279161835.0
2000,GRC,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",262919247.0
1996,GRD,Grenada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",29.0
1997,GRD,Grenada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2294.0
1998,GRD,Grenada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",171.0
1999,GRD,Grenada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3213.0
2000,GRD,Grenada,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4830.0
1996,GRL,Greenland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",153.0
1999,GRL,Greenland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",31.0
1995,GTM,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5118232.0
1996,GTM,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5455785.0
1997,GTM,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7242097.0
1998,GTM,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",7354238.0
